,日期,最高温,最低温,天气,风力风向,空气质量指数
0,2023-12-10 周日,-15°,-25°,阴~晴,西风3级,32 优
1,2023-12-10 周日,3°,-3°,阴~小雪,东风2级,64 良
2,2023-12-10 周日,-12°,-15°,晴~多云,西北风2级,32 优
3,2023-12-10 周日,-8°,-12°,阴~多云,东北风3级,30 优
4,2023-12-10 周日,1°,-4°,阴~中雪,东北风2级,46 优
5,2023-12-10 周日,0°,-2°,阴~小雪,东北风3级,48 优
6,2023-12-10 周日,1°,-5°,小雪~中雪,东北风3级,52 良
7,2023-12-10 周日,7°,1°,多云~雨夹雪,东北风3级,104 轻度
8,2023-12-10 周日,4°,-3°,阴~多云,西北风1级,75 良
9,2023-12-10 周日,5°,-4°,阴~多云,东北风1级,54 良
10,2023-12-10 周日,7°,-7°,多云~晴,东风1级,68 良
11,2023-12-10 周日,-5°,-10°,小雪~多云,北风2级,38 优
12,2023-12-10 周日,9°,-4°,晴,南风1级,29 优
13,2023-12-10 周日,14°,10°,多云~阴,东北风1级,223 重度
14,2023-12-10 周日,16°,14°,阴,东北风1级,161 中度
15,2023-12-10 周日,4°,0°,阴~大雪,东北风4级,50 优
16,2023-12-10 周日,3°,-3°,雨夹雪~暴雪,东北风4级,56 良
17,2023-12-10 周日,12°,8°,小雨~中雨,东北风4级,70 良
18,2023-12-10 周日,12°,1°,小雨,东北风4级,67 良
19,2023-12-10 周日,11°,4°,中雨~小雨,东北风4级,60 良
20,2023-12-10 周日,19°,12°,多云~小雨,北风2级,74 良
21,2023-12-10 周日,26°,18°,多云~晴,东南风1级,62 良
22,2023-12-10 周日,18°,12°,小雨,东北风2级,64 良
23,2023-12-10 周日,18°,7°,阴~小雨,西北风2级,72 良
24,2023-12-10 周日,23°,12°,阴~阵雨,南风4级,34 优
25,2023-12-10 周日,24°,21°,雾~阴,东南风3级,38 优
26,2023-12-10 周日,30°,20°,雾~多云,东南风3级,24 优
27,2023-12-10 周日,18°,14°,小雨,东南风1级,55 良
28,2023-12-10 周日,29°,21°,阴,东南风3级,46 优
29,2023-12-10 周日,20°,8°,多云~晴,西南风3级,21 优
30,2023-12-10 周日,30°,23°,多云,西北风2级,
